"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test failed login - runs with fresh browser","3759","test_login_failed [CHROME]","scripts","2026-04-28","passed","2026-04-28","TestLogin","test_login","",""
"Test successful login - runs with fresh browser","7421","test_login_success [CHROME]","scripts","2026-04-28","passed","2026-04-28","TestLogin","test_login","",""
"","15812","test_add_goods_to_cart [FIREFOX]","scripts","2026-04-28","passed","2026-04-28","TestShopping","test_shopping","",""
"Test failed login - runs with fresh browser","4427","test_login_failed [EDGE]","scripts","2026-04-28","passed","2026-04-28","TestLogin","test_login","",""
"Test failed login - runs with fresh browser","3314","test_login_failed [CHROME]","scripts","2026-04-28","passed","2026-04-28","TestLogin","test_login","",""
"Test failed login - runs with fresh browser","5255","test_login_failed [EDGE]","scripts","2026-04-28","passed","2026-04-28","TestLogin","test_login","",""
"Test failed login - runs with fresh browser","3433","test_login_failed [EDGE]","scripts","2026-04-28","passed","2026-04-28","TestLogin","test_login","",""
"Test successful login - runs with fresh browser","7656","test_login_success [FIREFOX]","scripts","2026-04-28","passed","2026-04-28","TestLogin","test_login","",""
"Test failed login - runs with fresh browser","3601","test_login_failed [FIREFOX]","scripts","2026-04-28","passed","2026-04-28","TestLogin","test_login","",""
"Test failed login - runs with fresh browser","3583","test_login_failed [FIREFOX]","scripts","2026-04-28","passed","2026-04-28","TestLogin","test_login","",""
"Test failed login - runs with fresh browser","3576","test_login_failed [FIREFOX]","scripts","2026-04-28","passed","2026-04-28","TestLogin","test_login","",""
"Test failed login - runs with fresh browser","3594","test_login_failed [CHROME]","scripts","2026-04-28","passed","2026-04-28","TestLogin","test_login","",""
"Test failed login - runs with fresh browser","3708","test_login_failed [CHROME]","scripts","2026-04-28","passed","2026-04-28","TestLogin","test_login","",""
"Test failed login - runs with fresh browser","5296","test_login_failed [EDGE]","scripts","2026-04-28","passed","2026-04-28","TestLogin","test_login","",""
"","15642","test_add_goods_to_cart [EDGE]","scripts","2026-04-28","passed","2026-04-28","TestShopping","test_shopping","",""
"Test successful login - runs with fresh browser","7446","test_login_success [EDGE]","scripts","2026-04-28","passed","2026-04-28","TestLogin","test_login","",""
"Test failed login - runs with fresh browser","3638","test_login_failed [FIREFOX]","scripts","2026-04-28","passed","2026-04-28","TestLogin","test_login","",""
"","15659","test_add_goods_to_cart [CHROME]","scripts","2026-04-28","passed","2026-04-28","TestShopping","test_shopping","",""
